Order No,Item ID,Sales Date,Customer Id,City Id,Qty,Price,COGS,Discount Percent
244,14,4/27/2018,3043,45,2,83,70,28
1179,21,4/27/2018,2947,42,2,47,39,6
3576,18,4/27/2018,1069,62,2,83,53,33
5755,6,4/27/2018,2612,50,1,93,65,33
6285,9,4/27/2018,1288,36,1,100,83,36
6492,4,4/27/2018,2851,47,2,233,172,3
6819,19,4/27/2018,2192,55,1,83,66,45
6824,6,4/27/2018,882,27,1,93,65,19
6954,20,4/27/2018,1113,50,1,50,40,6
7634,23,4/27/2018,220,94,1,67,46,43
8623,2,4/27/2018,3299,24,1,200,140,28
9124,6,4/27/2018,737,47,1,93,65,22
10205,17,4/27/2018,1604,76,3,92,36,7
10645,28,4/27/2018,2592,47,1,92,64,35
11385,22,4/27/2018,4078,4,3,83,70,32
16394,35,4/27/2018,19,29,3,130,119,17
17151,11,4/27/2018,2501,49,3,73,36,35
17368,27,4/27/2018,340,91,3,83,66,20
17575,8,4/27/2018,2898,16,3,97,67,43
17916,13,4/27/2018,2953,3,3,52,36,5
22511,29,4/27/2018,3260,35,1,53,45,19
24699,44,4/27/2018,2490,5,1,1167,583,26
28650,54,4/27/2018,3114,22,2,1017,661,14
254,5,4/28/2018,1378,9,2,333,259,24
518,12,4/28/2018,131,92,1,67,40,40
1522,5,4/28/2018,1805,7,1,333,259,30
1734,11,4/28/2018,1816,93,2,73,36,40
1893,3,4/28/2018,782,50,2,753,301,12
3010,18,4/28/2018,261,57,2,83,53,6
3392,29,4/28/2018,2275,35,2,53,45,28
3716,26,4/28/2018,1762,46,1,65,52,22
4392,4,4/28/2018,2889,20,1,233,172,32
4737,18,4/28/2018,469,64,1,83,53,2
6036,15,4/28/2018,474,23,2,40,38,2
6185,28,4/28/2018,3867,80,2,92,64,4
6218,23,4/28/2018,2285,29,1,67,46,15
6275,11,4/28/2018,3246,8,1,73,36,8
6606,8,4/28/2018,2327,13,1,97,67,29
7511,13,4/28/2018,3821,28,1,52,36,35
7526,21,4/28/2018,3133,60,2,47,39,30
7667,23,4/28/2018,204,62,2,67,46,23
8393,10,4/28/2018,709,3,2,100,84,2
8449,16,4/28/2018,1334,97,1,60,54,29
8695,9,4/28/2018,2584,47,1,100,83,21
8716,10,4/28/2018,1374,72,1,100,84,39
8747,11,4/28/2018,3836,54,1,73,36,17
8797,21,4/28/2018,1708,77,2,47,39,37
8828,12,4/28/2018,2989,27,1,67,40,45
9009,2,4/28/2018,3122,24,1,200,140,42
9314,9,4/28/2018,952,31,2,100,83,29
9566,5,4/28/2018,2279,20,1,333,259,36
9590,27,4/28/2018,474,23,1,83,66,43
9677,13,4/28/2018,933,81,1,52,36,1
9835,11,4/28/2018,1641,68,1,73,36,22
9917,30,4/28/2018,310,25,1,40,36,44
10716,39,4/28/2018,939,36,3,183,124,15
11439,37,4/28/2018,2343,10,1,117,104,16
11937,22,4/28/2018,3437,87,1,83,70,26
12610,28,4/28/2018,3203,78,3,92,64,12
12655,29,4/28/2018,3275,27,2,53,45,21
14323,12,4/28/2018,2147,12,1,67,40,24
14342,11,4/28/2018,2178,54,2,73,36,34
14540,21,4/28/2018,49,78,2,47,39,17
15157,17,4/28/2018,2795,34,3,92,36,33
17009,15,4/28/2018,844,94,3,40,38,33
17271,18,4/28/2018,825,21,3,83,53,10
17653,23,4/28/2018,4016,5,2,67,46,34
17836,12,4/28/2018,3408,29,1,67,40,33
18546,27,4/28/2018,220,94,1,83,66,28
18569,21,4/28/2018,2177,94,1,47,39,30
18989,17,4/28/2018,1334,97,3,92,36,40
19343,37,4/28/2018,2849,19,2,117,104,39
19938,26,4/28/2018,2165,49,2,65,52,1
