Customer Id,Age,City Id,City,State,Name
1,34,32,Albuquerque,New Mexico,Customer 1
2,49,64,St. Louis,Missouri,Customer 2
3,58,85,Scottsdale,Arizona,Customer 3
4,41,35,Mesa,Arizona,Customer 4
5,57,37,Atlanta,Georgia,Customer 5
6,54,36,Sacramento,California,Customer 6
7,25,40,Miami,Florida,Customer 7
8,36,13,Fort Worth,Texas,Customer 8
9,56,75,Durham,North Carolina,Customer 9
10,49,33,Tucson,Arizona,Customer 10
11,48,11,Austin,Texas,Customer 11
12,43,72,Irvine,California,Customer 12
13,58,56,Honolulu,Hawaii,Customer 13
14,35,57,Santa Ana,California,Customer 14
15,55,63,Saint Paul,Minnesota,Customer 15
16,56,72,Irvine,California,Customer 16
17,48,8,San Diego,California,Customer 17
18,60,90,North Las Vegas,Nevada,Customer 18
19,50,29,Louisville,Kentucky,Customer 19
20,32,41,Raleigh,North Carolina,Customer 20
21,32,17,Indianapolis,Indiana,Customer 21
22,22,67,Greensboro,North Carolina,Customer 22
24,25,82,Chandler,Arizona,Customer 24
25,44,96,Fremont,California,Customer 25
26,28,6,Philadelphia[e],Pennsylvania,Customer 26
27,50,94,Irving,Texas,Customer 27
28,45,76,Chula Vista,California,Customer 28
29,35,75,Durham,North Carolina,Customer 29
30,27,83,Buffalo,New York,Customer 30
31,59,91,Norfolk,Virginia,Customer 31
32,36,71,Orlando,Florida,Customer 32
33,66,36,Sacramento,California,Customer 33
34,55,85,Scottsdale,Arizona,Customer 34
35,37,46,Minneapolis,Minnesota,Customer 35
36,43,51,Wichita,Kansas,Customer 36
37,63,29,Louisville,Kentucky,Customer 37
38,30,92,Chesapeake,Virginia,Customer 38
39,30,17,Indianapolis,Indiana,Customer 39
40,51,59,Corpus Christi,Texas,Customer 40
41,58,44,Virginia Beach[m],Virginia,Customer 41
42,40,34,Fresno,California,Customer 42
43,23,47,Tulsa,Oklahoma,Customer 43
44,33,4,Houston,Texas,Customer 44
45,20,68,Anchorage,Alaska,Customer 45
46,25,92,Chesapeake,Virginia,Customer 46
47,47,56,Honolulu,Hawaii,Customer 47
48,66,9,Dallas,Texas,Customer 48
49,29,78,Jersey City,New Jersey,Customer 49
50,66,31,Milwaukee,Wisconsin,Customer 50
51,66,70,Lincoln,Nebraska,Customer 51
52,60,84,Lubbock,Texas,Customer 52
53,29,79,St. Petersburg,Florida,Customer 53
54,29,42,Omaha,Nebraska,Customer 54
55,54,67,Greensboro,North Carolina,Customer 55
56,37,68,Anchorage,Alaska,Customer 56
57,29,11,Austin,Texas,Customer 57
58,49,24,Nashville,Tennessee,Customer 58
59,38,53,Bakersfield,California,Customer 59
60,37,98,Richmond,Virginia,Customer 60
61,31,26,Memphis,Tennessee,Customer 61
62,53,30,Baltimore,Maryland,Customer 62
63,66,97,Boise,Idaho,Customer 63
64,51,74,Toledo,Ohio,Customer 64
65,59,32,Albuquerque,New Mexico,Customer 65
66,39,82,Chandler,Arizona,Customer 66
67,42,99,Baton Rouge,Louisiana,Customer 67
68,34,36,Sacramento,California,Customer 68
69,68,45,Oakland,California,Customer 69
70,58,12,Jacksonville,Florida,Customer 70
71,60,51,Wichita,Kansas,Customer 71
72,48,55,Anaheim,California,Customer 72
73,27,25,Portland,Oregon,Customer 73
74,70,2,Los Angeles,California,Customer 74
75,52,100,Spokane,Washington,Customer 75
76,22,88,Gilbert,Arizona,Customer 76
77,69,16,Charlotte,North Carolina,Customer 77
78,64,75,Durham,North Carolina,Customer 78
79,30,16,Charlotte,North Carolina,Customer 79
80,39,22,El Paso,Texas,Customer 80
81,40,51,Wichita,Kansas,Customer 81
82,64,4,Houston,Texas,Customer 82
83,52,42,Omaha,Nebraska,Customer 83
84,45,4,Houston,Texas,Customer 84
85,48,98,Richmond,Virginia,Customer 85
86,67,86,Reno,Nevada,Customer 86
87,22,55,Anaheim,California,Customer 87
88,24,83,Buffalo,New York,Customer 88
89,39,20,Washington,District of Columbia,Customer 89
90,48,100,Spokane,Washington,Customer 90
91,29,89,Winstonâ€“Salem,North Carolina,Customer 91
92,42,96,Fremont,California,Customer 92
93,45,61,Stockton,California,Customer 93
94,21,37,Atlanta,Georgia,Customer 94
95,47,52,Cleveland,Ohio,Customer 95
96,66,12,Jacksonville,Florida,Customer 96
97,58,88,Gilbert,Arizona,Customer 97
98,70,92,Chesapeake,Virginia,Customer 98
99,58,37,Atlanta,Georgia,Customer 99
100,39,70,Lincoln,Nebraska,Customer 100
101,33,59,Corpus Christi,Texas,Customer 101
102,34,28,Las Vegas,Nevada,Customer 102
103,29,72,Irvine,California,Customer 103
104,35,71,Orlando,Florida,Customer 104
105,37,30,Baltimore,Maryland,Customer 105
106,30,71,Orlando,Florida,Customer 106
107,30,13,Fort Worth,Texas,Customer 107
108,28,5,Phoenix,Arizona,Customer 108
109,36,80,Laredo,Texas,Customer 109
110,37,30,Baltimore,Maryland,Customer 110
111,28,56,Honolulu,Hawaii,Customer 111
112,39,54,Aurora,Colorado,Customer 112
113,40,39,Colorado Springs,Colorado,Customer 113
114,35,53,Bakersfield,California,Customer 114
115,34,92,Chesapeake,Virginia,Customer 115
116,29,35,Mesa,Arizona,Customer 116
117,30,21,Boston,Massachusetts,Customer 117
118,37,56,Honolulu,Hawaii,Customer 118
119,34,84,Lubbock,Texas,Customer 119
120,26,87,Glendale,Arizona,Customer 120
121,29,20,Washington,District of Columbia,Customer 121
122,39,64,St. Louis,Missouri,Customer 122
123,37,71,Orlando,Florida,Customer 123
124,25,97,Boise,Idaho,Customer 124
125,34,61,Stockton,California,Customer 125
126,31,13,Fort Worth,Texas,Customer 126
127,39,89,Winstonâ€“Salem,North Carolina,Customer 127
128,26,14,Columbus,Ohio,Customer 128
129,40,7,San Antonio,Texas,Customer 129
130,37,64,St. Louis,Missouri,Customer 130
131,30,92,Chesapeake,Virginia,Customer 131
132,33,34,Fresno,California,Customer 132
133,28,15,San Francisco,California,Customer 133
134,28,63,Saint Paul,Minnesota,Customer 134
135,37,68,Anchorage,Alaska,Customer 135
136,30,68,Anchorage,Alaska,Customer 136
137,39,74,Toledo,Ohio,Customer 137
138,26,23,Detroit,Michigan,Customer 138
139,39,46,Minneapolis,Minnesota,Customer 139
140,33,46,Minneapolis,Minnesota,Customer 140
141,39,50,New Orleans,Louisiana,Customer 141
142,32,5,Phoenix,Arizona,Customer 142
143,40,35,Mesa,Arizona,Customer 143
144,36,10,San Jose,California,Customer 144
145,39,61,Stockton,California,Customer 145
146,28,49,Tampa,Florida,Customer 146
147,27,14,Columbus,Ohio,Customer 147
148,39,41,Raleigh,North Carolina,Customer 148
149,31,54,Aurora,Colorado,Customer 149
150,34,88,Gilbert,Arizona,Customer 150
151,37,70,Lincoln,Nebraska,Customer 151
152,34,28,Las Vegas,Nevada,Customer 152
153,30,49,Tampa,Florida,Customer 153
154,30,15,San Francisco,California,Customer 154
155,38,65,Cincinnati,Ohio,Customer 155
156,34,4,Houston,Texas,Customer 156
157,34,98,Richmond,Virginia,Customer 157
158,32,62,Henderson,Nevada,Customer 158
159,26,20,Washington,District of Columbia,Customer 159
160,31,92,Chesapeake,Virginia,Customer 160
161,29,60,Lexington,Kentucky,Customer 161
162,28,51,Wichita,Kansas,Customer 162
163,29,6,Philadelphia[e],Pennsylvania,Customer 163
164,35,88,Gilbert,Arizona,Customer 164
165,35,47,Tulsa,Oklahoma,Customer 165
166,35,40,Miami,Florida,Customer 166
167,33,48,Arlington,Texas,Customer 167
168,33,15,San Francisco,California,Customer 168
169,26,60,Lexington,Kentucky,Customer 169
170,38,1,New York,New York,Customer 170
171,34,59,Corpus Christi,Texas,Customer 171
172,26,6,Philadelphia[e],Pennsylvania,Customer 172
173,38,72,Irvine,California,Customer 173
174,39,71,Orlando,Florida,Customer 174
175,26,65,Cincinnati,Ohio,Customer 175
176,31,37,Atlanta,Georgia,Customer 176
177,29,62,Henderson,Nevada,Customer 177
178,29,51,Wichita,Kansas,Customer 178
179,32,51,Wichita,Kansas,Customer 179
180,39,70,Lincoln,Nebraska,Customer 180
181,29,75,Durham,North Carolina,Customer 181
182,35,67,Greensboro,North Carolina,Customer 182
183,29,50,New Orleans,Louisiana,Customer 183
184,33,66,Pittsburgh,Pennsylvania,Customer 184
185,37,99,Baton Rouge,Louisiana,Customer 185
186,36,39,Colorado Springs,Colorado,Customer 186
187,38,5,Phoenix,Arizona,Customer 187
188,37,6,Philadelphia[e],Pennsylvania,Customer 188
189,26,58,Riverside,California,Customer 189
190,31,41,Raleigh,North Carolina,Customer 190
191,36,21,Boston,Massachusetts,Customer 191
192,29,64,St. Louis,Missouri,Customer 192
193,38,52,Cleveland,Ohio,Customer 193
194,29,64,St. Louis,Missouri,Customer 194
195,34,52,Cleveland,Ohio,Customer 195
196,27,80,Laredo,Texas,Customer 196
197,32,92,Chesapeake,Virginia,Customer 197
198,37,89,Winstonâ€“Salem,North Carolina,Customer 198
199,36,98,Richmond,Virginia,Customer 199
200,32,9,Dallas,Texas,Customer 200
201,40,63,Saint Paul,Minnesota,Customer 201
202,35,49,Tampa,Florida,Customer 202
203,33,18,Seattle,Washington,Customer 203
204,33,62,Henderson,Nevada,Customer 204
205,33,59,Corpus Christi,Texas,Customer 205
206,33,48,Arlington,Texas,Customer 206
207,26,24,Nashville,Tennessee,Customer 207
208,29,17,Indianapolis,Indiana,Customer 208
209,25,62,Henderson,Nevada,Customer 209
210,36,38,Kansas City,Missouri,Customer 210
211,35,7,San Antonio,Texas,Customer 211
212,35,53,Bakersfield,California,Customer 212
213,33,80,Laredo,Texas,Customer 213
214,35,33,Tucson,Arizona,Customer 214
215,30,96,Fremont,California,Customer 215
216,30,97,Boise,Idaho,Customer 216
217,27,80,Laredo,Texas,Customer 217
218,25,68,Anchorage,Alaska,Customer 218
219,32,83,Buffalo,New York,Customer 219
220,32,94,Irving,Texas,Customer 220
221,29,35,Mesa,Arizona,Customer 221
222,39,70,Lincoln,Nebraska,Customer 222
223,39,4,Houston,Texas,Customer 223
224,29,69,Plano,Texas,Customer 224
225,39,15,San Francisco,California,Customer 225
226,33,82,Chandler,Arizona,Customer 226
227,39,35,Mesa,Arizona,Customer 227
228,38,61,Stockton,California,Customer 228
229,29,25,Portland,Oregon,Customer 229
230,36,93,Garland,Texas,Customer 230
231,35,25,Portland,Oregon,Customer 231
232,32,46,Minneapolis,Minnesota,Customer 232
233,26,62,Henderson,Nevada,Customer 233
234,30,80,Laredo,Texas,Customer 234
235,39,13,Fort Worth,Texas,Customer 235
236,26,25,Portland,Oregon,Customer 236
237,31,78,Jersey City,New Jersey,Customer 237
238,39,85,Scottsdale,Arizona,Customer 238
239,28,24,Nashville,Tennessee,Customer 239
240,25,100,Spokane,Washington,Customer 240
241,31,78,Jersey City,New Jersey,Customer 241
242,32,15,San Francisco,California,Customer 242
243,32,8,San Diego,California,Customer 243
244,35,16,Charlotte,North Carolina,Customer 244
245,35,58,Riverside,California,Customer 245
246,26,67,Greensboro,North Carolina,Customer 246
247,32,25,Portland,Oregon,Customer 247
248,32,88,Gilbert,Arizona,Customer 248
249,26,7,San Antonio,Texas,Customer 249
250,31,41,Raleigh,North Carolina,Customer 250
251,39,35,Mesa,Arizona,Customer 251
252,38,63,Saint Paul,Minnesota,Customer 252
253,35,8,San Diego,California,Customer 253
254,25,89,Winstonâ€“Salem,North Carolina,Customer 254
255,39,59,Corpus Christi,Texas,Customer 255
256,31,31,Milwaukee,Wisconsin,Customer 256
257,39,39,Colorado Springs,Colorado,Customer 257
258,28,50,New Orleans,Louisiana,Customer 258
259,27,2,Los Angeles,California,Customer 259
260,35,7,San Antonio,Texas,Customer 260
261,28,57,Santa Ana,California,Customer 261
262,40,66,Pittsburgh,Pennsylvania,Customer 262
263,32,25,Portland,Oregon,Customer 263
264,39,28,Las Vegas,Nevada,Customer 264
265,36,5,Phoenix,Arizona,Customer 265
266,28,24,Nashville,Tennessee,Customer 266
267,28,100,Spokane,Washington,Customer 267
268,39,43,Long Beach,California,Customer 268
269,31,29,Louisville,Kentucky,Customer 269
270,29,1,New York,New York,Customer 270
271,29,26,Memphis,Tennessee,Customer 271
272,39,41,Raleigh,North Carolina,Customer 272
273,35,53,Bakersfield,California,Customer 273
274,31,41,Raleigh,North Carolina,Customer 274
275,32,94,Irving,Texas,Customer 275
276,32,58,Riverside,California,Customer 276
277,38,97,Boise,Idaho,Customer 277
278,25,69,Plano,Texas,Customer 278
279,36,57,Santa Ana,California,Customer 279
280,26,85,Scottsdale,Arizona,Customer 280
281,32,39,Colorado Springs,Colorado,Customer 281
282,31,83,Buffalo,New York,Customer 282
283,31,48,Arlington,Texas,Customer 283
284,25,38,Kansas City,Missouri,Customer 284
285,39,88,Gilbert,Arizona,Customer 285
286,33,43,Long Beach,California,Customer 286
287,33,1,New York,New York,Customer 287
288,34,95,Hialeah,Florida,Customer 288
289,33,71,Orlando,Florida,Customer 289
290,35,14,Columbus,Ohio,Customer 290
291,28,45,Oakland,California,Customer 291
292,34,55,Anaheim,California,Customer 292
293,34,25,Portland,Oregon,Customer 293
294,34,51,Wichita,Kansas,Customer 294
295,29,67,Greensboro,North Carolina,Customer 295
296,33,91,Norfolk,Virginia,Customer 296
297,28,89,Winstonâ€“Salem,North Carolina,Customer 297
298,27,50,New Orleans,Louisiana,Customer 298
299,36,23,Detroit,Michigan,Customer 299
300,32,93,Garland,Texas,Customer 300
301,27,74,Toledo,Ohio,Customer 301
302,34,74,Toledo,Ohio,Customer 302
303,29,91,Norfolk,Virginia,Customer 303
304,32,24,Nashville,Tennessee,Customer 304
305,36,27,Oklahoma City,Oklahoma,Customer 305
306,32,84,Lubbock,Texas,Customer 306
307,30,17,Indianapolis,Indiana,Customer 307
308,28,83,Buffalo,New York,Customer 308
309,39,51,Wichita,Kansas,Customer 309
310,40,25,Portland,Oregon,Customer 310
311,35,67,Greensboro,North Carolina,Customer 311
312,33,92,Chesapeake,Virginia,Customer 312
313,40,68,Anchorage,Alaska,Customer 313
314,34,15,San Francisco,California,Customer 314
315,39,93,Garland,Texas,Customer 315
316,26,85,Scottsdale,Arizona,Customer 316
317,29,35,Mesa,Arizona,Customer 317
318,38,8,San Diego,California,Customer 318
319,32,24,Nashville,Tennessee,Customer 319
320,39,52,Cleveland,Ohio,Customer 320
321,26,35,Mesa,Arizona,Customer 321
322,34,18,Seattle,Washington,Customer 322
323,39,91,Norfolk,Virginia,Customer 323
324,33,1,New York,New York,Customer 324
325,29,73,Newark,New Jersey,Customer 325
326,29,56,Honolulu,Hawaii,Customer 326
327,32,76,Chula Vista,California,Customer 327
328,35,74,Toledo,Ohio,Customer 328
329,26,11,Austin,Texas,Customer 329
330,26,86,Reno,Nevada,Customer 330
331,38,11,Austin,Texas,Customer 331
332,39,27,Oklahoma City,Oklahoma,Customer 332
333,35,62,Henderson,Nevada,Customer 333
334,34,98,Richmond,Virginia,Customer 334
335,29,65,Cincinnati,Ohio,Customer 335
336,36,77,Fort Wayne,Indiana,Customer 336
337,34,26,Memphis,Tennessee,Customer 337
338,26,52,Cleveland,Ohio,Customer 338
339,38,84,Lubbock,Texas,Customer 339
340,38,91,Norfolk,Virginia,Customer 340
341,34,12,Jacksonville,Florida,Customer 341
342,30,8,San Diego,California,Customer 342
343,28,1,New York,New York,Customer 343
344,30,44,Virginia Beach[m],Virginia,Customer 344
345,27,8,San Diego,California,Customer 345
346,33,83,Buffalo,New York,Customer 346
347,33,59,Corpus Christi,Texas,Customer 347
348,35,99,Baton Rouge,Louisiana,Customer 348
349,30,91,Norfolk,Virginia,Customer 349
350,38,8,San Diego,California,Customer 350
351,30,47,Tulsa,Oklahoma,Customer 351
352,37,25,Portland,Oregon,Customer 352
353,27,61,Stockton,California,Customer 353
354,36,94,Irving,Texas,Customer 354
355,32,13,Fort Worth,Texas,Customer 355
356,29,86,Reno,Nevada,Customer 356
357,36,68,Anchorage,Alaska,Customer 357
358,29,3,Chicago,Illinois,Customer 358
359,32,82,Chandler,Arizona,Customer 359
360,31,43,Long Beach,California,Customer 360
361,38,87,Glendale,Arizona,Customer 361
362,33,60,Lexington,Kentucky,Customer 362
363,40,78,Jersey City,New Jersey,Customer 363
364,37,30,Baltimore,Maryland,Customer 364
365,26,82,Chandler,Arizona,Customer 365
366,36,59,Corpus Christi,Texas,Customer 366
367,37,80,Laredo,Texas,Customer 367
368,40,25,Portland,Oregon,Customer 368
369,25,64,St. Louis,Missouri,Customer 369
370,36,31,Milwaukee,Wisconsin,Customer 370
371,36,41,Raleigh,North Carolina,Customer 371
372,28,41,Raleigh,North Carolina,Customer 372
373,34,18,Seattle,Washington,Customer 373
374,37,7,San Antonio,Texas,Customer 374
375,30,14,Columbus,Ohio,Customer 375
376,30,58,Riverside,California,Customer 376
377,29,100,Spokane,Washington,Customer 377
378,34,34,Fresno,California,Customer 378
379,40,58,Riverside,California,Customer 379
380,28,6,Philadelphia[e],Pennsylvania,Customer 380
381,27,79,St. Petersburg,Florida,Customer 381
382,38,100,Spokane,Washington,Customer 382
383,30,87,Glendale,Arizona,Customer 383
384,37,4,Houston,Texas,Customer 384
385,29,84,Lubbock,Texas,Customer 385
386,35,33,Tucson,Arizona,Customer 386
387,26,40,Miami,Florida,Customer 387
388,26,3,Chicago,Illinois,Customer 388
389,28,61,Stockton,California,Customer 389
390,25,11,Austin,Texas,Customer 390
391,27,61,Stockton,California,Customer 391
392,26,37,Atlanta,Georgia,Customer 392
393,37,66,Pittsburgh,Pennsylvania,Customer 393
394,29,9,Dallas,Texas,Customer 394
395,38,90,North Las Vegas,Nevada,Customer 395
396,31,50,New Orleans,Louisiana,Customer 396
397,38,62,Henderson,Nevada,Customer 397
398,31,6,Philadelphia[e],Pennsylvania,Customer 398
399,39,88,Gilbert,Arizona,Customer 399
400,39,45,Oakland,California,Customer 400
401,29,14,Columbus,Ohio,Customer 401
402,37,78,Jersey City,New Jersey,Customer 402
403,36,34,Fresno,California,Customer 403
404,27,1,New York,New York,Customer 404
405,28,47,Tulsa,Oklahoma,Customer 405
406,28,58,Riverside,California,Customer 406
407,33,50,New Orleans,Louisiana,Customer 407
408,39,73,Newark,New Jersey,Customer 408
409,32,71,Orlando,Florida,Customer 409
410,30,54,Aurora,Colorado,Customer 410
411,26,31,Milwaukee,Wisconsin,Customer 411
412,29,13,Fort Worth,Texas,Customer 412
413,37,16,Charlotte,North Carolina,Customer 413
414,38,1,New York,New York,Customer 414
415,32,97,Boise,Idaho,Customer 415
416,32,62,Henderson,Nevada,Customer 416
417,29,64,St. Louis,Missouri,Customer 417
418,40,22,El Paso,Texas,Customer 418
419,32,29,Louisville,Kentucky,Customer 419
420,27,59,Corpus Christi,Texas,Customer 420
421,40,57,Santa Ana,California,Customer 421
422,32,20,Washington,District of Columbia,Customer 422
423,30,67,Greensboro,North Carolina,Customer 423
424,33,86,Reno,Nevada,Customer 424
425,31,36,Sacramento,California,Customer 425
426,32,57,Santa Ana,California,Customer 426
427,37,2,Los Angeles,California,Customer 427
428,28,74,Toledo,Ohio,Customer 428
429,31,56,Honolulu,Hawaii,Customer 429
430,31,77,Fort Wayne,Indiana,Customer 430
431,32,18,Seattle,Washington,Customer 431
432,25,27,Oklahoma City,Oklahoma,Customer 432
433,31,19,Denver,Colorado,Customer 433
434,38,2,Los Angeles,California,Customer 434
435,34,96,Fremont,California,Customer 435
436,31,93,Garland,Texas,Customer 436
437,27,15,San Francisco,California,Customer 437
438,27,78,Jersey City,New Jersey,Customer 438
439,34,15,San Francisco,California,Customer 439
440,28,67,Greensboro,North Carolina,Customer 440
441,36,63,Saint Paul,Minnesota,Customer 441
442,39,64,St. Louis,Missouri,Customer 442
443,30,22,El Paso,Texas,Customer 443
444,33,60,Lexington,Kentucky,Customer 444
445,39,42,Omaha,Nebraska,Customer 445
446,27,100,Spokane,Washington,Customer 446
447,34,13,Fort Worth,Texas,Customer 447
448,39,55,Anaheim,California,Customer 448
450,26,68,Anchorage,Alaska,Customer 450
451,28,2,Los Angeles,California,Customer 451
452,25,30,Baltimore,Maryland,Customer 452
453,32,3,Chicago,Illinois,Customer 453
454,28,30,Baltimore,Maryland,Customer 454
455,29,37,Atlanta,Georgia,Customer 455
456,34,100,Spokane,Washington,Customer 456
457,33,71,Orlando,Florida,Customer 457
458,37,16,Charlotte,North Carolina,Customer 458
459,31,83,Buffalo,New York,Customer 459
460,38,20,Washington,District of Columbia,Customer 460
461,37,78,Jersey City,New Jersey,Customer 461
462,26,86,Reno,Nevada,Customer 462
463,39,54,Aurora,Colorado,Customer 463
464,37,73,Newark,New Jersey,Customer 464
465,35,22,El Paso,Texas,Customer 465
466,37,75,Durham,North Carolina,Customer 466
467,26,54,Aurora,Colorado,Customer 467
468,40,39,Colorado Springs,Colorado,Customer 468
469,33,64,St. Louis,Missouri,Customer 469
470,26,55,Anaheim,California,Customer 470
471,39,5,Phoenix,Arizona,Customer 471
472,32,49,Tampa,Florida,Customer 472
473,26,39,Colorado Springs,Colorado,Customer 473
474,32,23,Detroit,Michigan,Customer 474
475,38,11,Austin,Texas,Customer 475
476,29,6,Philadelphia[e],Pennsylvania,Customer 476
477,39,60,Lexington,Kentucky,Customer 477
478,38,29,Louisville,Kentucky,Customer 478
479,39,98,Richmond,Virginia,Customer 479
480,31,6,Philadelphia[e],Pennsylvania,Customer 480
481,39,28,Las Vegas,Nevada,Customer 481
482,37,47,Tulsa,Oklahoma,Customer 482
483,36,27,Oklahoma City,Oklahoma,Customer 483
484,38,41,Raleigh,North Carolina,Customer 484
485,32,60,Lexington,Kentucky,Customer 485
486,33,29,Louisville,Kentucky,Customer 486
487,39,56,Honolulu,Hawaii,Customer 487
488,28,24,Nashville,Tennessee,Customer 488
489,35,74,Toledo,Ohio,Customer 489
490,40,30,Baltimore,Maryland,Customer 490
491,28,57,Santa Ana,California,Customer 491
492,38,96,Fremont,California,Customer 492
493,26,38,Kansas City,Missouri,Customer 493
494,39,87,Glendale,Arizona,Customer 494
495,34,74,Toledo,Ohio,Customer 495
496,33,57,Santa Ana,California,Customer 496
497,31,19,Denver,Colorado,Customer 497
498,37,45,Oakland,California,Customer 498
499,32,82,Chandler,Arizona,Customer 499
500,26,27,Oklahoma City,Oklahoma,Customer 500
501,37,34,Fresno,California,Customer 501
502,29,28,Las Vegas,Nevada,Customer 502
503,39,49,Tampa,Florida,Customer 503
504,26,84,Lubbock,Texas,Customer 504
505,37,44,Virginia Beach[m],Virginia,Customer 505
506,34,1,New York,New York,Customer 506
507,32,10,San Jose,California,Customer 507
508,35,3,Chicago,Illinois,Customer 508
509,29,62,Henderson,Nevada,Customer 509
510,30,44,Virginia Beach[m],Virginia,Customer 510
511,27,98,Richmond,Virginia,Customer 511
512,40,73,Newark,New Jersey,Customer 512
513,33,22,El Paso,Texas,Customer 513
514,30,59,Corpus Christi,Texas,Customer 514
515,38,26,Memphis,Tennessee,Customer 515
516,32,89,Winstonâ€“Salem,North Carolina,Customer 516
517,32,69,Plano,Texas,Customer 517
518,28,46,Minneapolis,Minnesota,Customer 518
519,32,87,Glendale,Arizona,Customer 519
520,36,94,Irving,Texas,Customer 520
521,25,31,Milwaukee,Wisconsin,Customer 521
522,39,87,Glendale,Arizona,Customer 522
523,33,47,Tulsa,Oklahoma,Customer 523
524,39,49,Tampa,Florida,Customer 524
525,36,45,Oakland,California,Customer 525
526,30,48,Arlington,Texas,Customer 526
527,29,2,Los Angeles,California,Customer 527
528,32,8,San Diego,California,Customer 528
529,36,84,Lubbock,Texas,Customer 529
530,36,51,Wichita,Kansas,Customer 530
531,33,2,Los Angeles,California,Customer 531
532,39,58,Riverside,California,Customer 532
533,31,67,Greensboro,North Carolina,Customer 533
534,26,63,Saint Paul,Minnesota,Customer 534
535,32,34,Fresno,California,Customer 535
536,29,4,Houston,Texas,Customer 536
537,28,69,Plano,Texas,Customer 537
538,28,83,Buffalo,New York,Customer 538
539,31,94,Irving,Texas,Customer 539
540,27,63,Saint Paul,Minnesota,Customer 540
541,40,26,Memphis,Tennessee,Customer 541
542,30,8,San Diego,California,Customer 542
543,39,10,San Jose,California,Customer 543
544,38,70,Lincoln,Nebraska,Customer 544
545,33,67,Greensboro,North Carolina,Customer 545
546,30,30,Baltimore,Maryland,Customer 546
547,34,97,Boise,Idaho,Customer 547
548,36,100,Spokane,Washington,Customer 548
549,29,77,Fort Wayne,Indiana,Customer 549
550,34,90,North Las Vegas,Nevada,Customer 550
551,38,54,Aurora,Colorado,Customer 551
552,26,83,Buffalo,New York,Customer 552
553,36,77,Fort Wayne,Indiana,Customer 553
554,32,73,Newark,New Jersey,Customer 554
555,35,51,Wichita,Kansas,Customer 555
556,33,47,Tulsa,Oklahoma,Customer 556
557,37,78,Jersey City,New Jersey,Customer 557
558,38,57,Santa Ana,California,Customer 558
559,35,84,Lubbock,Texas,Customer 559
560,30,26,Memphis,Tennessee,Customer 560
561,31,37,Atlanta,Georgia,Customer 561
562,31,34,Fresno,California,Customer 562
563,31,2,Los Angeles,California,Customer 563
564,29,29,Louisville,Kentucky,Customer 564
565,31,29,Louisville,Kentucky,Customer 565
566,31,18,Seattle,Washington,Customer 566
567,35,15,San Francisco,California,Customer 567
568,35,23,Detroit,Michigan,Customer 568
569,35,71,Orlando,Florida,Customer 569
570,39,45,Oakland,California,Customer 570
