Date,Is Today,Month Year,Month Year sort,Month Rank,Work Day,Work Date,Work Date With WE,Work Day Rank,Work Date with WE Rank,Work Day This month,Week Start With Year,Week Start Date,Last working date,Qtr Year,Qtr Year Sort,Year
1/1/2018 0:00,1/1/2018,Jan-2018,201801,29,1,1/1/2018 0:00,1/1/2018 0:00,2,1,1,1,1/1/2018 0:00,,Q12018,20181,2018
1/2/2018 0:00,1/2/2018,Jan-2018,201801,29,1,1/2/2018 0:00,1/2/2018 0:00,3,2,2,1,1/1/2018 0:00,1/1/2018 0:00,Q12018,20181,2018
1/3/2018 0:00,1/3/2018,Jan-2018,201801,29,1,1/3/2018 0:00,1/3/2018 0:00,4,3,3,1,1/1/2018 0:00,1/2/2018 0:00,Q12018,20181,2018
1/4/2018 0:00,1/4/2018,Jan-2018,201801,29,1,1/4/2018 0:00,1/4/2018 0:00,5,4,4,1,1/1/2018 0:00,1/3/2018 0:00,Q12018,20181,2018
1/5/2018 0:00,1/5/2018,Jan-2018,201801,29,1,1/5/2018 0:00,1/5/2018 0:00,6,5,5,1,1/1/2018 0:00,1/4/2018 0:00,Q12018,20181,2018
1/6/2018 0:00,1/6/2018,Jan-2018,201801,29,0,,1/5/2018 0:00,,5,,1,1/1/2018 0:00,,Q12018,20181,2018
1/7/2018 0:00,1/7/2018,Jan-2018,201801,29,0,,1/5/2018 0:00,,5,,1,1/1/2018 0:00,,Q12018,20181,2018
1/8/2018 0:00,1/8/2018,Jan-2018,201801,29,1,1/8/2018 0:00,1/8/2018 0:00,7,6,6,2,1/8/2018 0:00,1/5/2018 0:00,Q12018,20181,2018
1/9/2018 0:00,1/9/2018,Jan-2018,201801,29,1,1/9/2018 0:00,1/9/2018 0:00,8,7,7,2,1/8/2018 0:00,1/8/2018 0:00,Q12018,20181,2018
1/10/2018 0:00,1/10/2018,Jan-2018,201801,29,1,1/10/2018 0:00,1/10/2018 0:00,9,8,8,2,1/8/2018 0:00,1/9/2018 0:00,Q12018,20181,2018
1/11/2018 0:00,1/11/2018,Jan-2018,201801,29,1,1/11/2018 0:00,1/11/2018 0:00,10,9,9,2,1/8/2018 0:00,1/10/2018 0:00,Q12018,20181,2018
1/12/2018 0:00,1/12/2018,Jan-2018,201801,29,1,1/12/2018 0:00,1/12/2018 0:00,11,10,10,2,1/8/2018 0:00,1/11/2018 0:00,Q12018,20181,2018
1/13/2018 0:00,1/13/2018,Jan-2018,201801,29,0,,1/12/2018 0:00,,10,,2,1/8/2018 0:00,,Q12018,20181,2018
1/14/2018 0:00,1/14/2018,Jan-2018,201801,29,0,,1/12/2018 0:00,,10,,2,1/8/2018 0:00,,Q12018,20181,2018
1/15/2018 0:00,1/15/2018,Jan-2018,201801,29,1,1/15/2018 0:00,1/15/2018 0:00,12,11,11,3,1/15/2018 0:00,1/12/2018 0:00,Q12018,20181,2018
1/16/2018 0:00,1/16/2018,Jan-2018,201801,29,1,1/16/2018 0:00,1/16/2018 0:00,13,12,12,3,1/15/2018 0:00,1/15/2018 0:00,Q12018,20181,2018
1/17/2018 0:00,1/17/2018,Jan-2018,201801,29,1,1/17/2018 0:00,1/17/2018 0:00,14,13,13,3,1/15/2018 0:00,1/16/2018 0:00,Q12018,20181,2018
1/18/2018 0:00,1/18/2018,Jan-2018,201801,29,1,1/18/2018 0:00,1/18/2018 0:00,15,14,14,3,1/15/2018 0:00,1/17/2018 0:00,Q12018,20181,2018
1/19/2018 0:00,1/19/2018,Jan-2018,201801,29,1,1/19/2018 0:00,1/19/2018 0:00,16,15,15,3,1/15/2018 0:00,1/18/2018 0:00,Q12018,20181,2018
1/20/2018 0:00,1/20/2018,Jan-2018,201801,29,0,,1/19/2018 0:00,,15,,3,1/15/2018 0:00,,Q12018,20181,2018
1/21/2018 0:00,1/21/2018,Jan-2018,201801,29,0,,1/19/2018 0:00,,15,,3,1/15/2018 0:00,,Q12018,20181,2018
1/22/2018 0:00,1/22/2018,Jan-2018,201801,29,1,1/22/2018 0:00,1/22/2018 0:00,17,16,16,4,1/22/2018 0:00,1/19/2018 0:00,Q12018,20181,2018
1/23/2018 0:00,1/23/2018,Jan-2018,201801,29,1,1/23/2018 0:00,1/23/2018 0:00,18,17,17,4,1/22/2018 0:00,1/22/2018 0:00,Q12018,20181,2018
1/24/2018 0:00,1/24/2018,Jan-2018,201801,29,1,1/24/2018 0:00,1/24/2018 0:00,19,18,18,4,1/22/2018 0:00,1/23/2018 0:00,Q12018,20181,2018
1/25/2018 0:00,1/25/2018,Jan-2018,201801,29,1,1/25/2018 0:00,1/25/2018 0:00,20,19,19,4,1/22/2018 0:00,1/24/2018 0:00,Q12018,20181,2018
1/26/2018 0:00,1/26/2018,Jan-2018,201801,29,1,1/26/2018 0:00,1/26/2018 0:00,21,20,20,4,1/22/2018 0:00,1/25/2018 0:00,Q12018,20181,2018
1/27/2018 0:00,1/27/2018,Jan-2018,201801,29,0,,1/26/2018 0:00,,20,,4,1/22/2018 0:00,,Q12018,20181,2018
1/28/2018 0:00,1/28/2018,Jan-2018,201801,29,0,,1/26/2018 0:00,,20,,4,1/22/2018 0:00,,Q12018,20181,2018
