Order No,Item ID,Order Date,Deilvery Date,Customer Id,City Id
1,4,5/27/2017,6/1/2017,3586,36
2,16,7/15/2017,7/22/2017,2132,66
3,5,4/9/2017,4/16/2017,1547,86
4,3,9/9/2017,9/15/2017,3546,67
5,29,10/29/2017,11/4/2017,1513,50
6,11,2/1/2017,2/3/2017,1788,55
7,1,12/17/2017,12/21/2017,1069,62
8,24,12/20/2017,12/21/2017,2327,13
9,6,12/10/2017,12/17/2017,3836,54
10,4,10/7/2017,10/10/2017,1743,34
11,26,2/4/2017,2/12/2017,3412,9
12,30,11/3/2017,11/5/2017,549,77
13,19,10/15/2017,10/24/2017,3494,4
14,24,9/13/2017,9/16/2017,992,62
15,21,11/6/2017,11/12/2017,3824,67
16,15,2/8/2017,2/14/2017,3913,60
17,24,10/25/2017,10/30/2017,2871,49
18,8,5/14/2017,5/22/2017,3211,80
19,21,8/15/2017,8/17/2017,3076,42
20,25,6/18/2017,6/22/2017,2696,32
21,22,2/15/2017,2/19/2017,667,63
22,1,8/30/2017,8/30/2017,2353,22
23,5,3/19/2017,3/19/2017,2058,2
24,22,5/22/2017,5/24/2017,3557,3
25,15,1/19/2017,1/20/2017,2058,2
26,26,6/4/2017,6/9/2017,3105,50
27,2,7/4/2017,7/8/2017,666,15
28,27,9/18/2017,9/27/2017,1710,87
29,6,2/16/2017,2/17/2017,1102,18
30,8,2/27/2017,3/5/2017,3155,73
31,22,6/15/2017,6/23/2017,3522,11
32,21,2/11/2017,2/13/2017,748,77
33,16,10/22/2017,10/31/2017,128,14
34,18,1/21/2017,1/22/2017,1462,91
35,16,6/24/2017,6/29/2017,3979,83
36,2,2/9/2017,2/10/2017,365,82
37,18,8/15/2017,8/18/2017,263,25
38,26,5/9/2017,5/16/2017,1147,89
39,30,9/24/2017,9/26/2017,2864,13
40,9,2/23/2017,2/26/2017,2132,66
41,19,4/27/2017,5/2/2017,1778,35
42,24,3/24/2017,4/2/2017,3304,32
43,21,7/31/2017,8/7/2017,1745,47
44,3,3/8/2017,3/9/2017,2949,25
45,28,3/30/2017,4/3/2017,2343,10
46,8,7/5/2017,7/9/2017,2005,47
47,23,5/21/2017,5/23/2017,102,28
48,6,6/7/2017,6/8/2017,1205,95
49,29,10/12/2017,10/15/2017,211,7
50,25,2/19/2017,2/19/2017,1908,21
51,23,5/14/2017,5/19/2017,3400,93
52,9,10/24/2017,11/2/2017,575,33
53,15,4/19/2017,4/28/2017,1904,26
54,15,6/12/2017,6/21/2017,3394,37
55,19,1/19/2017,1/28/2017,1987,58
56,18,5/27/2017,6/2/2017,484,41
57,23,4/14/2017,4/16/2017,3576,23
58,19,6/30/2017,7/4/2017,2829,8
59,14,3/5/2017,3/6/2017,434,2
60,26,5/5/2017,5/10/2017,3983,37
61,29,7/20/2017,7/25/2017,1391,62
62,3,7/7/2017,7/11/2017,3432,83
63,10,2/4/2017,2/14/2017,2818,24
64,27,11/14/2017,11/15/2017,2870,53
65,27,12/26/2017,12/28/2017,884,9
66,27,11/13/2017,11/14/2017,600,19
67,25,11/18/2017,11/28/2017,3053,55
68,3,7/24/2017,8/1/2017,788,99
69,11,1/17/2017,1/20/2017,3102,14
70,23,11/19/2017,11/28/2017,3786,96
71,19,3/9/2017,3/17/2017,2379,38
72,11,10/28/2017,10/30/2017,1912,94
73,26,1/17/2017,1/19/2017,931,63
74,2,10/19/2017,10/19/2017,491,57
75,11,8/29/2017,9/1/2017,1471,96
76,28,11/12/2017,11/20/2017,3882,16
77,12,11/19/2017,11/19/2017,647,75
78,12,10/4/2017,10/5/2017,3633,61
79,2,4/14/2017,4/23/2017,762,85
80,27,2/17/2017,2/19/2017,2445,9
81,28,8/17/2017,8/22/2017,321,35
82,11,1/6/2017,1/10/2017,1817,95
83,20,7/4/2017,7/13/2017,1810,58
84,25,12/12/2017,12/14/2017,2812,44
85,22,12/16/2017,12/26/2017,1612,100
86,25,11/7/2017,11/8/2017,765,6
87,10,12/13/2017,12/19/2017,1306,99
88,14,12/2/2017,12/5/2017,2746,11
89,2,11/24/2017,11/26/2017,3521,43
90,24,11/29/2017,12/1/2017,2985,8
91,9,12/27/2017,1/4/2018,2547,38
92,26,2/2/2017,2/12/2017,2392,19
93,26,8/29/2017,9/6/2017,956,72
94,2,7/8/2017,7/17/2017,1444,87
95,10,4/22/2017,4/25/2017,2863,8
96,8,2/14/2017,2/23/2017,842,73
97,21,7/13/2017,7/18/2017,1779,62
98,28,10/23/2017,10/26/2017,2481,35
99,3,5/29/2017,6/2/2017,3265,75
100,28,2/21/2017,3/1/2017,1129,77
101,23,1/11/2017,1/18/2017,1696,76
102,11,6/11/2017,6/19/2017,1088,88
103,20,8/14/2017,8/17/2017,1988,90
104,17,10/19/2017,10/20/2017,1198,47
105,30,12/18/2017,12/24/2017,716,92
106,17,12/26/2017,12/30/2017,1733,16
107,25,1/9/2017,1/17/2017,210,38
108,21,1/16/2017,1/18/2017,1114,52
109,6,1/5/2017,1/5/2017,2535,43
110,5,10/2/2017,10/3/2017,1126,64
111,18,11/30/2017,12/7/2017,3813,67
112,24,1/4/2017,1/6/2017,334,98
113,29,3/22/2017,3/24/2017,1039,89
114,4,1/5/2017,1/11/2017,2908,6
115,2,11/20/2017,11/29/2017,293,25
116,11,8/23/2017,9/1/2017,3606,59
117,14,5/7/2017,5/16/2017,936,98
118,15,12/21/2017,12/30/2017,72,55
119,8,4/6/2017,4/9/2017,2901,40
120,8,11/25/2017,12/5/2017,3941,58
121,7,7/30/2017,8/1/2017,876,58
