Item Id,Name,Brand Id,Category Id,Sub Category Id,Brand,Category,Sub Category
1,Item 1,10,2,6,Brand 10,Category 2,Sub Cat 6
2,Item 2,5,5,14,Brand 5,Category 5,Sub Cat 14
3,Item 3,9,2,6,Brand 9,Category 2,Sub Cat 6
4,Item 4,12,2,6,Brand 12,Category 2,Sub Cat 6
5,Item 5,7,2,6,Brand 7,Category 2,Sub Cat 6
6,Item 6,7,3,17,Brand 7,Category 3,Sub Cat 17
7,Item 7,8,2,5,Brand 8,Category 2,Sub Cat 5
8,Item 8,10,5,14,Brand 10,Category 5,Sub Cat 14
9,Item 9,7,4,19,Brand 7,Category 4,Sub Cat 19
10,Item 10,2,4,2,Brand 2,Category 4,Sub Cat 2
11,Item 11,13,2,1,Brand 13,Category 2,Sub Cat 1
12,Item 12,13,3,3,Brand 13,Category 3,Sub Cat 3
13,Item 13,2,4,11,Brand 2,Category 4,Sub Cat 11
14,Item 14,13,1,21,Brand 13,Category 1,Sub Cat 21
15,Item 15,5,1,13,Brand 5,Category 1,Sub Cat 13
16,Item 16,8,2,15,Brand 8,Category 2,Sub Cat 15
17,Item 17,1,1,21,Brand 1,Category 1,Sub Cat 21
18,Item 18,5,4,7,Brand 5,Category 4,Sub Cat 7
19,Item 19,12,4,7,Brand 12,Category 4,Sub Cat 7
20,Item 20,10,2,6,Brand 10,Category 2,Sub Cat 6
21,Item 21,6,1,13,Brand 6,Category 1,Sub Cat 13
22,Item 22,9,2,6,Brand 9,Category 2,Sub Cat 6
23,Item 23,8,1,4,Brand 8,Category 1,Sub Cat 4
24,Item 24,11,3,12,Brand 11,Category 3,Sub Cat 12
25,Item 25,11,1,13,Brand 11,Category 1,Sub Cat 13
26,Item 26,8,2,5,Brand 8,Category 2,Sub Cat 5
27,Item 27,9,2,15,Brand 9,Category 2,Sub Cat 15
28,Item 28,8,4,18,Brand 8,Category 4,Sub Cat 18
29,Item 29,13,3,16,Brand 13,Category 3,Sub Cat 16
30,Item 30,11,4,7,Brand 11,Category 4,Sub Cat 7
31,Item 31,10,1,13,Brand 10,Category 1,Sub Cat 13
32,Item 32,9,1,4,Brand 9,Category 1,Sub Cat 4
33,Item 33,5,2,6,Brand 5,Category 2,Sub Cat 6
34,Item 34,2,2,15,Brand 2,Category 2,Sub Cat 15
35,Item 35,13,1,21,Brand 13,Category 1,Sub Cat 21
36,Item 36,11,5,14,Brand 11,Category 5,Sub Cat 14
37,Item 37,3,5,14,Brand 3,Category 5,Sub Cat 14
38,Item 38,3,4,7,Brand 3,Category 4,Sub Cat 7
39,Item 39,1,4,2,Brand 1,Category 4,Sub Cat 2
40,Item 40,6,3,10,Brand 6,Category 3,Sub Cat 10
41,Item 41,10,1,21,Brand 10,Category 1,Sub Cat 21
42,Item 42,5,2,15,Brand 5,Category 2,Sub Cat 15
43,Item 43,2,2,8,Brand 2,Category 2,Sub Cat 8
44,Item 44,5,2,5,Brand 5,Category 2,Sub Cat 5
45,Item 45,4,3,16,Brand 4,Category 3,Sub Cat 16
46,Item 46,5,3,17,Brand 5,Category 3,Sub Cat 17
47,Item 47,12,2,1,Brand 12,Category 2,Sub Cat 1
48,Item 48,9,5,14,Brand 9,Category 5,Sub Cat 14
49,Item 49,2,4,19,Brand 2,Category 4,Sub Cat 19
50,Item 50,5,2,6,Brand 5,Category 2,Sub Cat 6
51,Item 51,4,2,1,Brand 4,Category 2,Sub Cat 1
52,Item 52,9,2,8,Brand 9,Category 2,Sub Cat 8
53,Item 53,11,3,3,Brand 11,Category 3,Sub Cat 3
54,Item 54,11,4,7,Brand 11,Category 4,Sub Cat 7
55,Item 55,9,2,15,Brand 9,Category 2,Sub Cat 15
