Order No,Item ID,Sales Date,Customer Id,City Id,Qty,Price,COGS,Discount Percent
1,4,5/27/2017,3586,36,1,233,172,12
2,16,7/15/2017,2132,66,2,60,54,9
3,5,4/9/2017,1547,86,1,333,259,5
4,3,9/9/2017,3546,67,2,753,301,39
5,29,10/29/2017,1513,50,2,53,45,28
6,11,2/1/2017,1788,55,1,73,36,36
7,1,12/17/2017,1069,62,2,267,202,45
8,24,12/20/2017,2327,13,1,91,77,20
9,6,12/10/2017,3836,54,2,93,65,27
10,4,10/7/2017,1743,34,2,233,172,10
11,26,2/4/2017,3412,9,1,65,52,32
12,30,11/3/2017,549,77,1,40,36,13
13,19,10/15/2017,3494,4,1,83,66,29
14,24,9/13/2017,992,62,1,91,77,25
15,21,11/6/2017,3824,67,2,47,39,1
16,15,2/8/2017,3913,60,1,40,38,13
17,24,10/25/2017,2871,49,2,91,77,2
18,8,5/14/2017,3211,80,2,97,67,44
19,21,8/15/2017,3076,42,2,47,39,45
20,25,6/18/2017,2696,32,2,67,53,14
21,22,2/15/2017,667,63,2,83,70,45
22,1,8/30/2017,2353,22,1,267,202,12
23,5,3/19/2017,2058,2,2,333,259,12
24,22,5/22/2017,3557,3,1,83,70,18
25,15,1/19/2017,2058,2,1,40,38,5
26,26,6/4/2017,3105,50,1,65,52,36
27,2,7/4/2017,666,15,1,200,140,9
28,27,9/18/2017,1710,87,1,83,66,15
29,6,2/16/2017,1102,18,2,93,65,29
30,8,2/27/2017,3155,73,1,97,67,18
31,22,6/15/2017,3522,11,1,83,70,15
32,21,2/11/2017,748,77,1,47,39,11
33,16,10/22/2017,128,14,2,60,54,25
34,18,1/21/2017,1462,91,2,83,53,1
35,16,6/24/2017,3979,83,1,60,54,1
36,2,2/9/2017,365,82,1,200,140,41
37,18,8/15/2017,263,25,1,83,53,27
38,26,5/9/2017,1147,89,1,65,52,26
39,30,9/24/2017,2864,13,1,40,36,23
40,9,2/23/2017,2132,66,2,100,83,22
41,19,4/27/2017,1778,35,2,83,66,36
42,24,3/24/2017,3304,32,2,91,77,41
43,21,7/31/2017,1745,47,2,47,39,13
44,3,3/8/2017,2949,25,1,753,301,18
45,28,3/30/2017,2343,10,1,92,64,41
46,8,7/5/2017,2005,47,1,97,67,18
47,23,5/21/2017,102,28,2,67,46,2
48,6,6/7/2017,1205,95,1,93,65,19
49,29,10/12/2017,211,7,2,53,45,26
50,25,2/19/2017,1908,21,1,67,53,44
51,23,5/14/2017,3400,93,1,67,46,21
52,9,10/24/2017,575,33,2,100,83,4
53,15,4/19/2017,1904,26,2,40,38,15
54,15,6/12/2017,3394,37,1,40,38,28
55,19,1/19/2017,1987,58,2,83,66,17
56,18,5/27/2017,484,41,1,83,53,13
57,23,4/14/2017,3576,23,1,67,46,28
58,19,6/30/2017,2829,8,1,83,66,14
59,14,3/5/2017,434,2,1,83,70,27
60,26,5/5/2017,3983,37,1,65,52,38
61,29,7/20/2017,1391,62,1,53,45,27
62,3,7/7/2017,3432,83,1,753,301,18
63,10,2/4/2017,2818,24,1,100,84,15
64,27,11/14/2017,2870,53,1,83,66,27
